id,recipe_name,meal_type,dietary_category,ingredients,equipment_needed,nutritional_information,instructions,allergens,prep_time_minutes
40,Falafel Wrap,Lunch,Vegetarian,"cheese, beans, milk, rice, cucumber","Air Fryer, Grill","419 kcal, Protein: 25.1g, Carbs: 65.3g, Fats: 5.5g",1. Blend all ingredients using Grill. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Soy,15
41,Turkey Sandwich,Breakfast,Keto,"spinach, tomato, milk, avocado, garlic","Air Fryer, Oven","593 kcal, Protein: 19.2g, Carbs: 54.5g, Fats: 15.1g",1. Mix all ingredients in a bowl. 2. Use Oven to cook or blend. 3. Serve with your favorite topping.,Dairy,52
42,Oatmeal with Berries,Snack,Vegetarian,"garlic, bell pepper, cucumber, avocado, tomato","Air Fryer, Stove","410 kcal, Protein: 7.4g, Carbs: 27.4g, Fats: 16.4g",1. Chop vegetables and prepare cucumber. 2. Cook using Stove. 3. Garnish before serving.,Dairy,46
43,Grilled Salmon,Snack,Vegetarian,"cheese, salmon, egg, quinoa, beans","Grill, Microwave","684 kcal, Protein: 15.3g, Carbs: 58.7g, Fats: 5.9g",1. Sauté ingredients on Grill. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Soy,56
44,Shrimp Fried Rice,Snack,Gluten-Free,"tomato, rice, garlic, kale, avocado","Grill, Oven","332 kcal, Protein: 20.0g, Carbs: 65.1g, Fats: 34.9g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,No Allergens,41
45,Spaghetti Carbonara,Dinner,Vegan,"tofu, avocado, bell pepper, tomato, salmon","Stove, Instant Pot","397 kcal, Protein: 37.2g, Carbs: 54.0g, Fats: 22.9g",1. Chop vegetables and prepare tofu. 2. Cook using Instant Pot. 3. Garnish before serving.,Soy,28
46,Caesar Salad,Breakfast,Paleo,"mushroom, broccoli, salmon, milk, cucumber","Microwave, Air Fryer","686 kcal, Protein: 7.2g, Carbs: 35.3g, Fats: 7.8g",1. Blend all ingredients using Microwave. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Eggs,12
47,Mushroom Risotto,Dinner,Paleo,"carrot, garlic, cheese, chicken, broccoli","Instant Pot, Microwave","401 kcal, Protein: 11.3g, Carbs: 28.4g, Fats: 22.5g",1. Boil water and add cheese. 2. Stir occasionally using Microwave. 3. Drain and plate beautifully.,No Allergens,55
48,Avocado Toast,Snack,Vegan,"onion, mushroom, bell pepper, carrot, quinoa","Instant Pot, Grill","688 kcal, Protein: 6.5g, Carbs: 38.7g, Fats: 33.1g",1. Chop vegetables and prepare mushroom. 2. Cook using Grill. 3. Garnish before serving.,Nuts,35
49,Grilled Salmon,Breakfast,Vegetarian,"milk, mushroom, chicken, avocado, cucumber","Air Fryer, Blender","413 kcal, Protein: 5.3g, Carbs: 78.1g, Fats: 14.1g",1. Wash and prep all ingredients. 2. Heat Air Fryer and start cooking. 3. Combine everything and serve hot.,"Nuts, Shellfish",34
50,Smoothie Bowl,Breakfast,Vegan,"spinach, tofu, milk, rice, mushroom","Instant Pot, Grill","458 kcal, Protein: 31.1g, Carbs: 18.6g, Fats: 20.5g",1. Wash and prep all ingredients. 2. Heat Grill and start cooking. 3. Combine everything and serve hot.,Soy,40
51,Vegetable Stir-Fry,Breakfast,Vegetarian,"spinach, mushroom, tomato, quinoa, chicken","Grill, Air Fryer","596 kcal, Protein: 32.4g, Carbs: 62.1g, Fats: 18.6g",1. Boil water and add mushroom. 2. Stir occasionally using Air Fryer. 3. Drain and plate beautifully.,Nuts,35
52,Pancakes,Breakfast,Paleo,"spinach, avocado, carrot, milk, bell pepper","Blender, Microwave","607 kcal, Protein: 7.8g, Carbs: 71.6g, Fats: 15.1g",1. Blend all ingredients using Microwave. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,"Shellfish, Dairy",35
53,Mushroom Risotto,Dinner,Gluten-Free,"onion, chicken, avocado, bell pepper, broccoli","Blender, Stove","184 kcal, Protein: 12.6g, Carbs: 49.3g, Fats: 24.5g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Gluten,40
54,Lentil Soup,Breakfast,Vegan,"bell pepper, salmon, tofu, beans, kale","Oven, Instant Pot","308 kcal, Protein: 25.4g, Carbs: 70.3g, Fats: 6.6g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Gluten,46
55,Beef Tacos,Snack,Vegetarian,"carrot, tofu, milk, salmon, egg","Microwave, Stove","401 kcal, Protein: 18.4g, Carbs: 38.5g, Fats: 30.3g",1. Boil water and add carrot. 2. Stir occasionally using Stove. 3. Drain and plate beautifully.,Soy,31
56,Spaghetti Carbonara,Dinner,Paleo,"milk, rice, beans, chicken, broccoli","Grill, Air Fryer","399 kcal, Protein: 22.1g, Carbs: 72.4g, Fats: 9.3g",1. Mix all ingredients in a bowl. 2. Use Grill to cook or blend. 3. Serve with your favorite topping.,No Allergens,52
57,Greek Salad,Lunch,Vegetarian,"tomato, broccoli, egg, onion, bell pepper","Air Fryer, Grill","625 kcal, Protein: 11.5g, Carbs: 47.1g, Fats: 9.0g",1. Preheat the Grill. 2. Add egg and cook until done. 3. Let it cool slightly before serving.,Eggs,50
58,Keto Chicken Salad,Lunch,Vegan,"carrot, milk, bell pepper, onion, cucumber","Grill, Stove","462 kcal, Protein: 14.4g, Carbs: 48.9g, Fats: 10.6g",1. Mix all ingredients in a bowl. 2. Use Grill to cook or blend. 3. Serve with your favorite topping.,Shellfish,19
59,Beef Tacos,Lunch,Paleo,"spinach, quinoa, tofu, rice, egg","Oven, Grill","295 kcal, Protein: 14.3g, Carbs: 68.2g, Fats: 30.6g",1. Chop vegetables and prepare egg. 2. Cook using Grill. 3. Garnish before serving.,"Dairy, Gluten",11
60,Grilled Salmon,Breakfast,Paleo,"rice, spinach, tofu, kale, salmon","Oven, Instant Pot","527 kcal, Protein: 32.1g, Carbs: 39.2g, Fats: 14.1g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Gluten,58
61,Chili Con Carne,Dinner,Gluten-Free,"rice, milk, chicken, carrot, mushroom","Air Fryer, Blender","328 kcal, Protein: 20.3g, Carbs: 10.9g, Fats: 3.7g",1. Mix all ingredients in a bowl. 2. Use Blender to cook or blend. 3. Serve with your favorite topping.,Dairy,44
62,Chili Con Carne,Lunch,Paleo,"carrot, chicken, bell pepper, cucumber, milk","Blender, Grill","286 kcal, Protein: 7.9g, Carbs: 17.9g, Fats: 13.3g",1. Boil water and add chicken. 2. Stir occasionally using Grill. 3. Drain and plate beautifully.,"Nuts, Shellfish",35
63,Lentil Soup,Snack,Gluten-Free,"spinach, cucumber, egg, beans, milk","Grill, Instant Pot","207 kcal, Protein: 38.6g, Carbs: 21.6g, Fats: 24.3g",1. Sauté ingredients on Instant Pot. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,No Allergens,18
64,Pancakes,Snack,Keto,"carrot, beans, chicken, bell pepper, rice","Air Fryer, Stove","580 kcal, Protein: 36.4g, Carbs: 65.1g, Fats: 7.3g",1. Chop vegetables and prepare chicken. 2. Cook using Stove. 3. Garnish before serving.,Soy,42
65,Shrimp Fried Rice,Snack,Gluten-Free,"salmon, bell pepper, onion, egg, spinach","Microwave, Blender","176 kcal, Protein: 28.3g, Carbs: 42.1g, Fats: 19.3g",1. Mix all ingredients in a bowl. 2. Use Blender to cook or blend. 3. Serve with your favorite topping.,No Allergens,42
66,Chicken Stir-Fry,Lunch,Vegetarian,"carrot, kale, milk, egg, tomato","Microwave, Oven","635 kcal, Protein: 20.1g, Carbs: 30.3g, Fats: 24.6g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Soy,53
67,Falafel Wrap,Dinner,Keto,"broccoli, tomato, salmon, kale, chicken","Microwave, Instant Pot","335 kcal, Protein: 10.9g, Carbs: 24.7g, Fats: 17.9g",1. Boil water and add kale. 2. Stir occasionally using Instant Pot. 3. Drain and plate beautifully.,Nuts,29
68,Spaghetti Carbonara,Lunch,Keto,"carrot, avocado, milk, egg, chicken","Air Fryer, Oven","408 kcal, Protein: 28.3g, Carbs: 11.3g, Fats: 21.7g",1. Wash and prep all ingredients. 2. Heat Oven and start cooking. 3. Combine everything and serve hot.,Soy,46
69,Vegan Quinoa Bowl,Snack,Vegetarian,"chicken, milk, salmon, tofu, broccoli","Instant Pot, Stove","221 kcal, Protein: 19.4g, Carbs: 41.3g, Fats: 31.6g",1. Mix all ingredients in a bowl. 2. Use Stove to cook or blend. 3. Serve with your favorite topping.,Eggs,27
70,Shrimp Fried Rice,Snack,Paleo,"salmon, rice, milk, carrot, bell pepper","Stove, Microwave","558 kcal, Protein: 37.4g, Carbs: 33.0g, Fats: 19.1g",1. Chop vegetables and prepare salmon. 2. Cook using Stove. 3. Garnish before serving.,No Allergens,33
71,Lentil Soup,Dinner,Gluten-Free,"avocado, cucumber, chicken, spinach, carrot","Microwave, Grill","323 kcal, Protein: 6.8g, Carbs: 61.0g, Fats: 8.9g",1. Wash and prep all ingredients. 2. Heat Microwave and start cooking. 3. Combine everything and serve hot.,Soy,45
72,Falafel Wrap,Snack,Vegetarian,"kale, quinoa, mushroom, broccoli, egg","Stove, Air Fryer","186 kcal, Protein: 37.0g, Carbs: 66.3g, Fats: 24.6g",1. Blend all ingredients using Air Fryer. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Soy,14
73,Greek Salad,Snack,Vegetarian,"garlic, tofu, kale, cucumber, egg","Stove, Grill","582 kcal, Protein: 24.4g, Carbs: 51.7g, Fats: 29.5g",1. Preheat the Stove. 2. Add tofu and cook until done. 3. Let it cool slightly before serving.,"Dairy, Soy",12
74,Avocado Toast,Breakfast,Vegan,"cucumber, cheese, salmon, milk, broccoli","Air Fryer, Grill","512 kcal, Protein: 32.9g, Carbs: 30.9g, Fats: 31.5g",1. Wash and prep all ingredients. 2. Heat Air Fryer and start cooking. 3. Combine everything and serve hot.,"Gluten, Eggs",37
75,Spaghetti Carbonara,Dinner,Paleo,"egg, quinoa, kale, mushroom, garlic","Instant Pot, Stove","342 kcal, Protein: 12.9g, Carbs: 38.0g, Fats: 18.6g",1. Chop vegetables and prepare mushroom. 2. Cook using Stove. 3. Garnish before serving.,Gluten,14
76,Spaghetti Carbonara,Breakfast,Vegetarian,"kale, milk, tofu, rice, spinach","Oven, Air Fryer","574 kcal, Protein: 16.5g, Carbs: 27.1g, Fats: 2.5g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Shellfish,43
77,Pancakes,Breakfast,Gluten-Free,"avocado, quinoa, broccoli, garlic, bell pepper","Air Fryer, Blender","319 kcal, Protein: 25.4g, Carbs: 31.2g, Fats: 4.3g",1. Wash and prep all ingredients. 2. Heat Blender and start cooking. 3. Combine everything and serve hot.,Gluten,38
78,Chicken Stir-Fry,Snack,Paleo,"quinoa, egg, salmon, tofu, beans","Blender, Oven","182 kcal, Protein: 36.2g, Carbs: 60.0g, Fats: 8.6g",1. Wash and prep all ingredients. 2. Heat Blender and start cooking. 3. Combine everything and serve hot.,Gluten,38
79,Greek Salad,Snack,Paleo,"cheese, salmon, carrot, quinoa, broccoli","Blender, Microwave","681 kcal, Protein: 27.8g, Carbs: 15.5g, Fats: 19.6g",1. Chop vegetables and prepare carrot. 2. Cook using Microwave. 3. Garnish before serving.,Gluten,27
80,Chicken Stir-Fry,Dinner,Paleo,"avocado, garlic, egg, broccoli, chicken","Instant Pot, Grill","226 kcal, Protein: 13.5g, Carbs: 35.5g, Fats: 11.9g",1. Blend all ingredients using Instant Pot. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,"Shellfish, Dairy",51
81,Chili Con Carne,Lunch,Gluten-Free,"tofu, egg, avocado, tomato, cucumber","Blender, Instant Pot","241 kcal, Protein: 10.4g, Carbs: 69.5g, Fats: 12.9g",1. Blend all ingredients using Instant Pot. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,No Allergens,31
82,Smoothie Bowl,Snack,Gluten-Free,"rice, mushroom, milk, bell pepper, garlic","Grill, Blender","571 kcal, Protein: 24.1g, Carbs: 13.3g, Fats: 31.8g",1. Chop vegetables and prepare mushroom. 2. Cook using Grill. 3. Garnish before serving.,Dairy,25
83,Caesar Salad,Snack,Vegetarian,"broccoli, tomato, kale, garlic, mushroom","Microwave, Instant Pot","476 kcal, Protein: 36.4g, Carbs: 28.1g, Fats: 19.3g",1. Chop vegetables and prepare broccoli. 2. Cook using Microwave. 3. Garnish before serving.,Dairy,32
84,Chili Con Carne,Breakfast,Paleo,"salmon, carrot, beans, garlic, rice","Grill, Microwave","180 kcal, Protein: 28.4g, Carbs: 42.9g, Fats: 18.1g",1. Wash and prep all ingredients. 2. Heat Grill and start cooking. 3. Combine everything and serve hot.,Gluten,50
85,Chili Con Carne,Breakfast,Vegetarian,"egg, milk, salmon, quinoa, bell pepper","Air Fryer, Instant Pot","229 kcal, Protein: 28.8g, Carbs: 15.3g, Fats: 3.6g",1. Preheat the Instant Pot. 2. Add salmon and cook until done. 3. Let it cool slightly before serving.,"Soy, Nuts",38
86,Mushroom Risotto,Snack,Vegetarian,"milk, carrot, quinoa, cucumber, spinach","Air Fryer, Grill","390 kcal, Protein: 33.0g, Carbs: 22.1g, Fats: 24.8g",1. Sauté ingredients on Air Fryer. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Nuts,19
87,Shrimp Fried Rice,Dinner,Keto,"milk, quinoa, avocado, garlic, beans","Grill, Stove","548 kcal, Protein: 26.2g, Carbs: 37.6g, Fats: 2.7g",1. Chop vegetables and prepare avocado. 2. Cook using Stove. 3. Garnish before serving.,No Allergens,20
88,Lentil Soup,Breakfast,Paleo,"mushroom, kale, beans, cheese, bell pepper","Microwave, Stove","443 kcal, Protein: 20.9g, Carbs: 78.4g, Fats: 30.9g",1. Mix all ingredients in a bowl. 2. Use Microwave to cook or blend. 3. Serve with your favorite topping.,No Allergens,18
89,Mushroom Risotto,Breakfast,Vegetarian,"kale, garlic, cheese, onion, spinach","Stove, Blender","274 kcal, Protein: 14.2g, Carbs: 41.5g, Fats: 7.5g",1. Wash and prep all ingredients. 2. Heat Blender and start cooking. 3. Combine everything and serve hot.,"Dairy, Nuts",43
90,Vegetable Stir-Fry,Snack,Gluten-Free,"cheese, garlic, milk, avocado, onion","Oven, Grill","461 kcal, Protein: 23.5g, Carbs: 78.1g, Fats: 29.2g",1. Chop vegetables and prepare cheese. 2. Cook using Oven. 3. Garnish before serving.,Gluten,44
91,Pancakes,Snack,Gluten-Free,"tofu, tomato, spinach, avocado, broccoli","Oven, Instant Pot","622 kcal, Protein: 38.2g, Carbs: 38.1g, Fats: 15.1g",1. Chop vegetables and prepare broccoli. 2. Cook using Oven. 3. Garnish before serving.,Dairy,13
92,Shrimp Fried Rice,Dinner,Vegetarian,"garlic, kale, cucumber, spinach, broccoli","Blender, Oven","631 kcal, Protein: 39.0g, Carbs: 25.0g, Fats: 27.6g",1. Boil water and add cucumber. 2. Stir occasionally using Oven. 3. Drain and plate beautifully.,Eggs,15
93,Greek Salad,Lunch,Keto,"quinoa, spinach, rice, salmon, avocado","Blender, Grill","202 kcal, Protein: 31.5g, Carbs: 75.0g, Fats: 10.1g",1. Mix all ingredients in a bowl. 2. Use Blender to cook or blend. 3. Serve with your favorite topping.,"Eggs, Shellfish",60
94,Chicken Stir-Fry,Breakfast,Keto,"broccoli, avocado, beans, rice, bell pepper","Oven, Grill","623 kcal, Protein: 35.3g, Carbs: 48.8g, Fats: 27.7g",1. Chop vegetables and prepare avocado. 2. Cook using Oven. 3. Garnish before serving.,Gluten,30
95,Turkey Sandwich,Snack,Vegan,"spinach, quinoa, chicken, kale, egg","Microwave, Grill","175 kcal, Protein: 13.2g, Carbs: 59.2g, Fats: 18.6g",1. Preheat the Microwave. 2. Add chicken and cook until done. 3. Let it cool slightly before serving.,"Eggs, Dairy",57
